Date,Open,High,Low,Close,Volume,Adj Close
7/14/2014,202,216,199.15,212.05,3014200,212.05
7/11/2014,210.05,217.8,200.6,203.5,2518100,203.5
7/10/2014,223,228,205.4,211.75,3524300,211.75
7/9/2014,226.1,230.8,219.9,222.85,3270100,222.85
7/8/2014,243.6,245.5,224,229.5,4072600,229.5
7/7/2014,245,246.65,241.75,243.1,2197700,243.1
7/4/2014,245.5,247.5,241.65,245.4,2577500,245.4
7/3/2014,236,246.8,233.85,244.1,4118400,244.1
7/2/2014,236.75,236.85,232.8,234.85,1605800,234.85
7/1/2014,233.05,238,232.6,235,1682500,235
6/30/2014,232.7,236.25,230.25,233.75,1685100,233.75
6/27/2014,235,238.4,230.3,233.05,3126300,233.05
6/26/2014,225.75,237.6,222.75,233.65,8860300,233.65
6/25/2014,222,228.5,221.1,225.75,2391500,225.75
6/24/2014,222.9,224.55,218.4,221.9,1871100,221.9
6/23/2014,214.9,222.7,210.9,220.85,2075300,220.85
6/20/2014,215,217.7,211.35,214.25,1343100,214.25
6/19/2014,219.8,222.45,213.3,215.15,1603200,215.15
6/18/2014,223.2,226.65,216.3,218.55,3187700,218.55
6/17/2014,217,224.75,212.5,222.1,2998100,222.1
6/16/2014,210.45,217.8,203.6,216.3,2919700,216.3
6/13/2014,215,220.4,205.4,210.45,3457900,210.45
6/12/2014,209.8,215.5,208.05,213.45,2373900,213.45
6/11/2014,205,217.5,204.5,210.55,5946700,210.55
6/10/2014,208.1,208.1,198.85,202.35,1484300,202.35
6/9/2014,208.8,209.8,205.45,207.15,1578700,207.15
6/6/2014,207.4,208.9,202.85,207.35,2561300,207.35
6/5/2014,200.55,207.4,198,203.9,3066200,203.9
6/4/2014,197.1,200.7,194.5,199.8,1496800,199.8
6/3/2014,191,197.45,191,196,2378400,196
6/2/2014,183.9,193.25,183,192.05,1865600,192.05
5/30/2014,186,189,180.35,182.7,1530000,182.7
5/29/2014,185.45,188.2,181.95,185.7,1750900,185.7
5/28/2014,189.2,189.3,183.6,184.55,1423500,184.55
5/27/2014,190.35,193.7,185.55,187.7,2106000,187.7
5/26/2014,203,204.8,184.75,188.8,2581300,188.8
5/23/2014,198,203.95,197.15,200.45,4183900,200.45
5/22/2014,189.75,196.5,188.8,194.8,2948600,194.8
5/21/2014,188.5,194.3,183.25,187.75,2824300,187.75
5/20/2014,182,192.4,181.65,187.45,4177600,187.45
5/19/2014,180,183.7,174.7,180.3,4237800,180.3
5/16/2014,191.5,195.4,176.7,178.4,4345600,178.4
5/15/2014,197.25,197.8,187.25,189.9,2739700,189.9
5/14/2014,192.55,201,191.8,196.45,3809500,196.45
5/13/2014,189.85,198.8,188.75,193.1,4203600,193.1
5/12/2014,191.5,195.45,187.6,188.7,2690300,188.7
5/9/2014,198.15,199.45,191.3,191.75,3285700,191.75
5/8/2014,192.5,198.5,192,197.1,4323100,197.1
5/7/2014,184.7,193.3,183.9,190.1,2836000,190.1
5/6/2014,184.7,185.95,183.3,184.65,902900,184.65
5/5/2014,184.8,186.9,182.2,183.05,1331300,183.05
5/2/2014,183,186.7,180.5,184.6,1309500,184.6
5/1/2014,183.45,183.45,183.45,183.45,0,183.45
4/30/2014,185.5,190.1,179.25,183.45,2263200,183.45
4/29/2014,185.5,187.9,182.7,184.65,1477000,184.65
4/28/2014,190.45,190.65,183.6,185.8,1683700,185.8
4/25/2014,194.2,194.6,187.3,189.2,1365000,189.2
4/24/2014,193.5,193.5,193.5,193.5,0,193.5
4/23/2014,189.85,195,188.2,193.5,5268900,193.5
4/22/2014,194.25,195.25,187.7,188.85,2892000,188.85
4/21/2014,193.4,197,192.6,193.6,2783700,193.6
4/18/2014,191.75,191.75,191.75,191.75,0,191.75
4/17/2014,182.5,194.4,180.05,191.75,6785200,191.75
4/16/2014,183.5,185.6,177.1,180.75,2418000,180.75
4/15/2014,185.45,187.2,181.75,183.9,1959400,183.9
4/14/2014,184.1,184.1,184.1,184.1,0,184.1
4/11/2014,179.7,188.5,178.5,184.1,4433900,184.1
4/10/2014,180.85,184.4,179.2,180.6,1847200,180.6
4/9/2014,180.65,181.8,177.1,180.55,2298000,180.55
4/8/2014,180.35,180.35,180.35,180.35,0,180.35
4/7/2014,181.55,184.2,179.25,180.35,2041100,180.35
4/4/2014,179.4,182.75,177.55,181.55,2468100,181.55
4/3/2014,172,180.9,172,178.45,3889800,178.45
4/2/2014,180.5,182.8,178.7,181.9,4593100,181.9
4/1/2014,175,179.9,169,178.9,3587800,178.9
3/31/2014,167.8,175.5,167.05,173.95,4219500,173.95
3/28/2014,168.7,169.4,165.7,166.4,2328900,166.4
3/27/2014,167.5,170.9,165.4,167.3,7305400,167.3
3/26/2014,157.2,167.7,156.2,165.5,9220000,165.5
3/25/2014,148,156.7,148,155.85,4216100,155.85
3/24/2014,148.2,150.6,145.05,147.5,1687100,147.5
3/21/2014,150,150.9,147.35,148.1,1603300,148.1
3/20/2014,150.85,153,148,148.8,1577000,148.8
3/19/2014,149.3,151.95,148.55,151.3,1857800,151.3
3/18/2014,143.5,149.6,143.4,148.1,2328600,148.1
3/17/2014,142.9,142.9,142.9,142.9,0,142.9
3/14/2014,143.6,144.25,139.5,142.9,1984200,142.9
3/13/2014,152.35,153.5,143,145.1,1739000,145.1
3/12/2014,152.1,154.35,149.8,151.95,2117700,151.95
3/11/2014,155.05,155.9,151.1,152.15,2310800,152.15
3/10/2014,152.3,157.2,151.9,155.05,2390700,155.05
3/7/2014,158.6,158.6,152.65,153.95,2051500,153.95
3/6/2014,156,159.25,154.65,157.35,1868800,157.35
3/5/2014,157.55,157.85,154.3,156.2,1690300,156.2
3/4/2014,155.95,157.75,153.9,156.95,2295300,156.95
3/3/2014,157,159.8,153.1,154.75,2344700,154.75
2/28/2014,155.9,158.5,153.8,156,3346700,156
2/27/2014,154.3,154.3,154.3,154.3,0,154.3
2/26/2014,148,154.85,147.65,154.3,4137300,154.3
2/25/2014,147.35,149.5,146.7,147.5,1795400,147.5
2/24/2014,146.35,148.2,145.55,147.15,1703600,147.15
2/21/2014,145.75,148.9,145.3,147.7,2150000,147.7
2/20/2014,142.85,146.2,141.15,145.1,2064900,145.1
2/19/2014,145.3,145.95,142.1,143.6,1997000,143.6
2/18/2014,136.8,144.9,136.65,144.15,3077700,144.15
2/17/2014,137.9,138.7,135.05,137.1,1708300,137.1
2/14/2014,140.5,140.9,134.8,137.85,2651500,137.85
2/13/2014,145.15,146.25,139.25,140.1,2232100,140.1
2/12/2014,142.55,145.35,141.1,144.5,1960300,144.5
2/11/2014,147.2,147.45,140.6,141.6,2449500,141.6
2/10/2014,149.5,149.6,145.6,146.8,1859500,146.8
2/7/2014,148,150.1,146.7,148.15,1884800,148.15
2/6/2014,149.8,151.2,145.5,147.1,2306000,147.1
2/5/2014,148,150.85,147.15,149.1,2540300,149.1
2/4/2014,144.7,149.45,144.65,148.6,2517300,148.6
2/3/2014,149.55,153.7,145.7,147.65,5092300,147.65
1/31/2014,138.3,149.1,138.1,148.35,5240600,148.35
1/30/2014,138.7,140.75,136,137.35,4723400,137.35
1/29/2014,140.05,141.6,138.55,139.2,1379400,139.2
1/28/2014,140.1,142.7,136.5,138.8,1503000,138.8
1/27/2014,138.35,142.8,137.35,139.9,2239100,139.9
1/24/2014,146,146.6,140.6,141.05,1885900,141.05
1/23/2014,146.5,149.35,145.1,146.45,1757800,146.45
1/22/2014,147,148.5,145.35,147.4,1525000,147.4
1/21/2014,143.75,147.25,143,146.3,3128000,146.3
1/20/2014,139.3,143.7,137.8,142.75,3563700,142.75
1/17/2014,149.6,150.5,141.5,142,3292600,142
1/16/2014,152.15,152.65,149.2,149.7,2086400,149.7
1/15/2014,153.5,154,151,151.85,1508800,151.85
1/14/2014,153.7,155.3,151.95,153.1,2219300,153.1
1/13/2014,153.9,154.65,147.15,153.9,3910000,153.9
1/10/2014,152,153.8,148.65,150.7,2804100,150.7
1/9/2014,153,154.85,149.6,151.4,2995100,151.4
1/8/2014,154.65,156.5,151.85,153.15,3782600,153.15
1/7/2014,154.6,156.3,151.55,153.65,4928400,153.65
1/6/2014,145.85,154.15,144.6,152.8,6502700,152.8
1/3/2014,143.4,148.8,140.05,144.6,5704400,144.6
1/2/2014,139,150,138.3,144.45,18140100,144.45
1/1/2014,137.45,139.7,136.15,138.85,1758800,138.85
12/31/2013,133,137.5,132.9,136.75,1995800,136.75
12/30/2013,134,136.65,131,133.2,1595500,133.2
12/27/2013,136.65,136.65,133,133.65,1279100,133.65
12/26/2013,136.1,140,135.65,137.05,3664100,137.05
12/25/2013,135.6,135.6,135.6,135.6,0,135.6
12/24/2013,135.15,137.9,134.1,135.6,2481100,135.6
12/23/2013,127,136.3,125.5,134.5,4723500,134.5
12/20/2013,123.75,127.85,122.5,126.75,2203200,126.75
12/19/2013,126.75,127.85,122,123.5,1626900,123.5
12/18/2013,125.5,128.3,124.5,126.5,1311200,126.5
12/17/2013,124,128.5,123.8,125.5,2120700,125.5
12/16/2013,119.15,125,119,123.6,2956000,123.6
12/13/2013,123.15,123.95,119.25,119.7,1785400,119.7
12/12/2013,122.95,124.8,121.45,123.7,1725700,123.7
12/11/2013,125.65,127.8,121.25,122.6,1673600,122.6
12/10/2013,125.2,127.9,124.3,126.5,2009200,126.5
12/9/2013,131.05,131.5,124.25,124.95,1903700,124.95
12/6/2013,127.5,130.45,126.65,127.8,1895900,127.8
12/5/2013,131.35,132,126.55,128.05,1547500,128.05
12/4/2013,131.8,132.5,128.5,128.95,2268200,128.95
12/3/2013,132.5,133.4,131.1,132,1916200,132
12/2/2013,128,132.75,125.75,131.9,2794300,131.9
11/29/2013,127.65,128.6,124.8,127.7,1677400,127.7
11/28/2013,125.4,129.7,124.4,126.55,2742500,126.55
11/27/2013,120,124.9,120,124.25,2245600,124.25
11/26/2013,122.5,123,119.7,120.3,1793900,120.3
11/25/2013,126.5,127.9,121.1,123.1,2002900,123.1
11/22/2013,126.7,128.05,123.7,125.6,1975300,125.6
11/21/2013,126.55,128.8,124.15,125.65,2458200,125.65
11/20/2013,127.7,130.4,126.1,127.7,3053700,127.7
11/19/2013,126,128.8,123.8,127.25,2326700,127.25
11/18/2013,120.45,126.5,120.45,125.85,2911600,125.85
11/15/2013,120.2,120.2,120.2,120.2,0,120.2
11/14/2013,122.2,122.8,118.65,120.2,2369100,120.2
11/13/2013,113.35,121.95,112.7,121.1,4180700,121.1
11/12/2013,115.7,117,112.8,113.4,1728900,113.4
11/11/2013,114.9,118.25,112.5,114.7,3787900,114.7
11/8/2013,105.2,114.9,105.2,114.15,3136000,114.15
11/7/2013,107.9,108.9,104.4,105.7,996000,105.7
11/6/2013,109.35,111.25,106.2,107.2,1592900,107.2
11/5/2013,107.85,111.7,106.5,109.9,1358000,109.9
11/4/2013,106.8,106.8,106.8,106.8,0,106.8
11/1/2013,106.5,108.45,105.5,106.8,949100,106.8
10/31/2013,107.9,108.4,104.8,106.15,1794800,106.15
10/30/2013,108,110.15,106.1,107.55,2664800,107.55
10/29/2013,101.35,107.9,100.1,107.1,2668500,107.1
10/28/2013,101.8,102.75,99.85,100.95,834200,100.95
10/25/2013,101.95,103.9,101,101.6,1793200,101.6
10/24/2013,103,105.7,100,101.65,3937900,101.65
10/23/2013,104.9,105.4,100.85,103.3,1056600,103.3
10/22/2013,102.95,105.4,102.7,104,1371400,104
10/21/2013,100.2,103.6,100.05,102.65,925200,102.65
10/18/2013,99.75,101.75,99.6,100.2,1409400,100.2
10/17/2013,96.65,103.3,95.6,99.35,3324300,99.35
10/16/2013,96.65,96.65,96.65,96.65,0,96.65
10/15/2013,98.4,98.5,94,96.65,1103600,96.65
10/14/2013,95.9,98.8,95.4,97.35,901500,97.35
10/11/2013,96.1,99.5,95.45,95.95,1338500,95.95
10/10/2013,96.8,99.8,96.05,97.55,1584000,97.55
10/9/2013,96.7,97.8,95.6,96.3,1736600,96.3
10/8/2013,92,99.4,90.15,97.05,5104300,97.05
10/7/2013,89.4,92.5,89.4,91.6,2658700,91.6
10/4/2013,81.8,90.2,81.8,89.4,3616500,89.4
10/3/2013,80.2,82.85,80.2,82,767700,82
10/2/2013,80.05,80.05,80.05,80.05,0,80.05
10/1/2013,78,80.5,77.5,80.05,589600,80.05
9/30/2013,80.1,80.45,77.45,77.85,410500,77.85
9/27/2013,80,81.8,79.95,80.15,460700,80.15
9/26/2013,80.75,80.85,79.5,80,1091600,80
9/25/2013,81.5,82.65,79.5,80.75,1227700,80.75
9/24/2013,81.95,83.05,81.1,81.6,600200,81.6
9/23/2013,82.05,83.6,81,82.4,654200,82.4
9/20/2013,84.2,84.95,81.15,82.5,840100,82.5
9/19/2013,84.9,85.9,83.7,84.6,569200,84.6
9/18/2013,84.9,85,83.1,84.35,560500,84.35
9/17/2013,81.75,84.5,80.3,83.95,730500,83.95
9/16/2013,84.95,85,81.2,81.95,605100,81.95
9/13/2013,82.3,85.3,82.2,83.95,892000,83.95
9/12/2013,84,84.45,82.15,82.75,401000,82.75
9/11/2013,83.3,84.15,82.6,83.65,579000,83.65
9/10/2013,81.1,83.85,81.1,83.15,529600,83.15
9/9/2013,81.75,81.75,81.75,81.75,0,81.75
9/6/2013,80.9,82.4,79.15,81.75,799900,81.75
9/5/2013,81,81.5,79.25,80,598600,80
9/4/2013,78.5,80.45,78.3,80,568900,80
9/3/2013,80,81.65,78.15,78.65,1484500,78.65
9/2/2013,78.95,80.3,77.85,79.45,762400,79.45
8/30/2013,78.2,80.4,76.5,78.65,962500,78.65
8/29/2013,74.05,79.05,74.05,78.15,1182500,78.15
8/28/2013,72,75.7,70.6,75.05,748500,75.05
8/27/2013,76.3,76.4,72.9,73.3,744600,73.3
8/26/2013,77.5,78.85,74.3,76.55,1102500,76.55
8/23/2013,74,77.3,73.35,76.8,1812800,76.8
8/22/2013,71,73.75,70.1,73.35,749800,73.35
8/21/2013,73.4,75.2,71,71.75,1288300,71.75
8/20/2013,70.1,72.95,69.35,72.35,685500,72.35
8/19/2013,69.95,72.1,67,71.25,755100,71.25
8/16/2013,71.95,73.2,69.5,70.25,972600,70.25
8/15/2013,72.35,72.35,72.35,72.35,0,72.35
8/14/2013,73.05,73.45,71,72.35,1079800,72.35
8/13/2013,70.75,73,69.1,72.2,757300,72.2
8/12/2013,67.8,70.65,67.8,70,1186500,70
8/9/2013,67.65,67.65,67.65,67.65,0,67.65
8/8/2013,66.4,68.75,64.9,67.65,1173200,67.65
8/7/2013,68.15,69.9,65.6,66.25,2111200,66.25
8/6/2013,73.45,73.45,68.75,69.75,1131400,69.75
8/5/2013,73.8,74.5,71.2,73.5,883900,73.5
8/2/2013,73.1,73.95,70.6,72.95,1041400,72.95
8/1/2013,79.1,80.2,71.4,72.85,1522800,72.85
7/31/2013,76.45,79.2,74.6,78.8,944000,78.8
7/30/2013,79.1,80,76.7,77.45,1137000,77.45
7/29/2013,78.55,81.05,78.05,78.8,2924700,78.8
7/26/2013,76.5,80.75,76.2,79.9,1556500,79.9
7/25/2013,74.45,77.65,72.7,76,1383900,76
7/24/2013,77.3,77.3,73.4,74.85,1231000,74.85
7/23/2013,73.9,78.4,73.5,77.15,1900400,77.15
7/22/2013,72,74.2,72,72.85,489000,72.85
7/19/2013,74.05,74.5,71.4,71.85,906900,71.85
7/18/2013,74.9,75.7,73,74.05,791200,74.05
7/17/2013,74.75,76.75,74.4,75.7,803300,74.05
7/16/2013,75.8,76.25,73.55,74.9,868500,73.27
7/15/2013,74,77.45,73.05,76.6,1163200,74.93
7/12/2013,74.4,75.1,72.9,74.25,581400,72.63
7/11/2013,73.65,75.2,73.3,74.1,738700,72.48
7/10/2013,74.1,74.85,72.45,73.1,716600,71.51
7/9/2013,71.7,73.55,70.1,72.75,1049800,71.16
7/8/2013,74,74,70.75,71.7,908300,70.14
7/5/2013,74.9,75.7,73.05,74.05,865500,72.44
7/4/2013,73.65,74.9,71.5,74.3,1628300,72.68
7/3/2013,78.25,78.25,73.15,74.1,1080200,72.48
7/2/2013,79,80.45,77.85,78.4,770700,76.69
7/1/2013,79.25,79.9,78.2,79.45,857400,77.72
6/28/2013,77.4,79.7,76.8,78.15,2152000,76.45
6/27/2013,75.6,78.1,74.95,76.5,1088200,74.83
6/26/2013,78.6,79.8,74.15,75.4,1170200,73.76
6/25/2013,77.5,81.8,75.65,78.75,1775200,77.03
6/24/2013,78.4,78.7,75.65,77.75,1353400,76.06
6/21/2013,81.2,81.2,77.35,78.4,1610400,76.69
6/20/2013,78.2,78.4,76.65,77.45,767600,75.76
6/19/2013,79.25,80.2,78.5,78.95,738100,77.23
6/18/2013,79.2,80.8,78.7,79.65,606900,77.91
6/17/2013,80.15,80.6,77.45,79.95,829100,78.21
6/14/2013,78.55,81.75,78.55,80.1,1226800,78.35
6/13/2013,79.1,79.5,77.4,78.05,938800,76.35
6/12/2013,83,83.6,78.8,80.15,1227600,78.4
6/11/2013,85.05,85.7,82.6,83.5,1105500,81.68
6/10/2013,87.3,87.3,84,86.1,1418200,84.22
6/7/2013,87.4,88,85.3,85.6,3285400,83.73
6/6/2013,80.45,87.45,79.4,86.15,2596300,84.27
6/5/2013,82.25,82.65,80.4,80.75,1415900,78.99
6/4/2013,81.25,84,80.55,82.25,1374200,80.46
6/3/2013,81.25,82.8,80.45,82.35,703500,80.56
5/31/2013,82.05,82.7,79.85,81.95,1973300,80.16
5/30/2013,78.1,82.6,78.1,81.95,2459300,80.16
5/29/2013,79.05,80.5,77.55,79.15,1017300,77.42
5/28/2013,78.1,80.1,78,79.35,756300,77.62
5/27/2013,76.5,78.5,76.2,78,509500,76.3
5/24/2013,76.55,77.1,75.15,76.1,391600,74.44
5/23/2013,76.9,77.1,74.65,75.95,602000,74.29
5/22/2013,78,78.35,76.35,77.1,744500,75.42
5/21/2013,78.1,78.75,77.1,77.65,992400,75.96
